GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
maven-training-restapi,at.cgsit.jeemicro,ExampleResource,0,15,0,0,0,4,0,2,0,2
maven-training-restapi,at.cgsit.jeemicro.resource.json,TestDtoResource,92,0,0,0,25,0,6,0,6,0
